"","id","value","variable","country","country_destination","actual"
"1","001y3jr7xc",9,"V1","other","AU",1
"2","001y3jr7xc",5,"V2","FR","AU",1
"3","001y3jr7xc",7,"V3","IT","AU",1
"4","001y3jr7xc",6,"V5","GB","AU",1
"5","001y3jr7xc",4,"V4","ES","AU",1
"6","006mls2sjw",9,"V1","other","ES",4
"7","006mls2sjw",4,"V3","ES","ES",4
"8","006mls2sjw",7,"V5","IT","ES",4
"9","006mls2sjw",5,"V2","FR","ES",4
"10","006mls2sjw",6,"V4","GB","ES",4
"11","008fjkom18",5,"V2","FR","other",9
"12","008fjkom18",9,"V1","other","other",9
"13","008fjkom18",7,"V3","IT","other",9
"14","008fjkom18",6,"V5","GB","other",9
"15","008fjkom18",4,"V4","ES","other",9
"16","00aeof2i1o",4,"V5","ES","FR",5
"17","00aeof2i1o",7,"V3","IT","FR",5
"18","00aeof2i1o",5,"V2","FR","FR",5
"19","00aeof2i1o",6,"V4","GB","FR",5
"20","00aeof2i1o",9,"V1","other","FR",5
"21","00burea7t5",9,"V1","other","FR",5
"22","00burea7t5",2,"V5","CA","FR",5
"23","00burea7t5",6,"V4","GB","FR",5
"24","00burea7t5",5,"V2","FR","FR",5
"25","00burea7t5",7,"V3","IT","FR",5
"26","00fn6wu77e",5,"V3","FR","DE",3
"27","00fn6wu77e",3,"V2","DE","DE",3
"28","00fn6wu77e",7,"V4","IT","DE",3
"29","00fn6wu77e",4,"V5","ES","DE",3
"30","00fn6wu77e",9,"V1","other","DE",3
"31","00q5gbt7y3",7,"V5","IT","FR",5
"32","00q5gbt7y3",9,"V1","other","FR",5
"33","00q5gbt7y3",6,"V4","GB","FR",5
"34","00q5gbt7y3",4,"V3","ES","FR",5
"35","00q5gbt7y3",5,"V2","FR","FR",5
"36","00ri3ux25n",6,"V2","GB","ES",4
"37","00ri3ux25n",7,"V4","IT","ES",4
"38","00ri3ux25n",5,"V3","FR","ES",4
"39","00ri3ux25n",4,"V5","ES","ES",4
"40","00ri3ux25n",9,"V1","other","ES",4
"41","01ez9tkx4j",9,"V1","other","ES",4
"42","01ez9tkx4j",6,"V5","GB","ES",4
"43","01ez9tkx4j",7,"V3","IT","ES",4
"44","01ez9tkx4j",4,"V4","ES","ES",4
"45","01ez9tkx4j",5,"V2","FR","ES",4
"46","02ce32w92h",4,"V5","ES","other",9
"47","02ce32w92h",7,"V3","IT","other",9
"48","02ce32w92h",6,"V4","GB","other",9
"49","02ce32w92h",5,"V2","FR","other",9
"50","02ce32w92h",9,"V1","other","other",9
"51","031bz36x8r",4,"V3","ES","ES",4
"52","031bz36x8r",5,"V2","FR","ES",4
"53","031bz36x8r",9,"V1","other","ES",4
"54","031bz36x8r",6,"V4","GB","ES",4
"55","031bz36x8r",7,"V5","IT","ES",4
"56","03a3zuhpce",5,"V2","FR","CA",2
"57","03a3zuhpce",7,"V3","IT","CA",2
"58","03a3zuhpce",2,"V5","CA","CA",2
"59","03a3zuhpce",9,"V1","other","CA",2
"60","03a3zuhpce",6,"V4","GB","CA",2
"61","03bn85z6tg",6,"V3","GB","other",9
