"","text","class"
"124","Late fees add problems for tenants who missed out on work during #Harvey https://t.co/A6CCgVcs3R #houstonflood https://t.co/5NfS9JDwVm","rescue"
"39","Meeting with @EnergyCorridor businesses regarding plans to return normalcy. #Harvey #HoustonStrong https://t.co/IzGLkeYwPo","nonrescue"
"25","RT @RebeccaOnFOX7: Watch my discussion w/ Mary from @austinpetsalive about #Harvey rescue efforts. &amp; face recognition to find lost pets! #A…","nonrescue"
"45","During times like these, the following information could provide to be useful: https://t.co/JvBs6wGYJR #cattle… https://t.co/8dGlIFzUDb","nonrescue"
"24","9/5, evening: #VET members + soldiers engaged in ""puppy therapy.""
#TAMU #CVM #Harvey https://t.co/OoMe7sIgrZ","nonrescue"
"82","RT @TexasObserver: More than a week after #Harvey, Texas &amp; @USDA have yet to approve a food aid program designed to help victims https://t.…","rescue"
"36","The latest The San Antonio Daily! https://t.co/BnzZfbah9w #ksatnews #harvey","nonrescue"
"20","A little levity between #Harvey and #Irma2017 . My dog and his stick... https://t.co/6zUy4B5iMp","nonrescue"
"56","#Harvey can't keep us down. We're back at it Friday! #USTWS

<U+26BD><U+FE0F> vs. #NAIASoccer #11 @MobileRams
<ed><U+00A0><U+00BD><ed><U+00B3><U+0085> Sept. 8
<U+23F0> 7 p.m.… https://t.co/EozDzyaxZG","nonrescue"
"22","RT @Zello: If you used Zello during #Harvey please take a moment to give us feedback: https://t.co/TT8bgQCv3J https://t.co/JTJLaBBmhh","nonrescue"
"147","RT @SheriffEd_HCSO: Team @HCSOTexas is still hard at work helping our residents recover from #Harvey. We are with you. https://t.co/8S17FtX…","rescue"
"34","RT @TFRW: There are still people in need of relief from #Harvey. Visit our website to see how you can help! https://t.co/wpe6Bx1ePm","nonrescue"
"32","RT @abc13houston: The Empire State Building in New York is dark tonight in solidarity with those affected by #Harvey: https://t.co/mzSLmlYv…","nonrescue"
"68","Tell the @realDonaldTrump regime: Restore the Federal Flood Risk Management Standard. https://t.co/kjuMCTsO5a via @CREDOMobile #harvey","nonrescue"
"5","RT @stjbs: An absolutely incredible #harvey essay: I downloaded an app. Suddenly, I was a rescue dispatcher. https://t.co/8ds8PLf4Qe","nonrescue"
"79","RT @SenTedCruz: Recognized @JJWatt for his devout commitment to helping fellow Texans rebuild after #Harvey. #TexansHelpingTexans #TexasStr…","rescue"
"135","$500 relief to @CLEAT members devasted by #Harvey. https://t.co/GvQsKNEktD","rescue"
"116","All these hurricanes coming. Mother Nature is angry at the Gulf states. #RedStates #trump #Irma #jose #harvey","rescue"
"44","RT @TAMUGeosciences: Stuck at sea in the middle of Hurricane #Harvey: read this Texas A&amp;M crew's harrowing story. https://t.co/Q47bPGqR6K #…","nonrescue"
"150","6pm on @abc13houston meet Bill Fly. The 99 year-old WWII vet who lost his home during #Harvey but is making a comeb… https://t.co/Dk0qNEwx7b","rescue"
"18","RT @ReadyHarris: Touching debris that's touched #Harvey flood waters? WASH UP and WEAR GLOVES! Harris County Debris Pickup has begun. Info:…","nonrescue"
"69","RT @HoustonPubMedia: #DHS secretary says over 30,000 federal workers involved in #Harvey recovery https://t.co/TiQ1f4cqoo #houstonflood htt…","nonrescue"
"2","RT @nathanlino: Thanks to my new friend Michael @Whataburger for donating to #Harvey relief through Farrington Mission. https://t.co/fdEtxL…","nonrescue"
"19","RT @PatrickSvitek: The breakdown of the Trumps' $1 million personal donation to #Harvey relief efforts, via the White House: https://t.co/p…","nonrescue"
"88","RT @TAMU: Last week, @TAMUyell visited NYC to talk with @SportsCenter, @foxandfriends, &amp; @finebaum about #Harvey relief! https://t.co/jCHq5…","rescue"
"133","RT @casaelbuen: We have a lot of resources. If you need help cleaning your home of debris after #Harvey register now! #HouRecovers #houston…","rescue"
"42","What's up at the Austin Diaper Bank? Our newsletter: #Harvey relief, new ED, #Diaper Need Awareness Week, new bin! https://t.co/al6mnbJXXQ","nonrescue"
"55","RT @hcphtx: Families affected by #Harvey might not be able to go to clinics, so brought #healthservices to the community. THIS IS #PUBLICHE…","nonrescue"
"59","RT @WazabiBaytown: Happy hour all night for the month of September #happy hour #harvey #sushi #foodporn #baytown","nonrescue"
"65","Well that was two hours of my life I won't be getting back. #Harvey #Traffic","nonrescue"
"51","RT @PoojaOnTV: Crews working to get Beltway 8 open again!  #abc13 #Harvey https://t.co/IWNIcJ2v0r","nonrescue"
