"","text"
"1","RT @KPRC2: Crews begin pumping water from flooded Beltway 8 West. Story and photos --&gt; https://t.co/Tf9RSsOXxK #HoustonFlood #Harvey https:…"
"2","RT @ShernMinKHOU: Amazing @springspiritbb kids wanted to help #Harvey victims. Sold lemonade &amp; got $10,000 check! Proud to tell their story…"
"3","RT @BAP2017: #KeishaWilliams would have turned 33 Saturday.
She died in #Harvey flood waters near her Woodforest apt #ABC13!!
#RIPKeishaWil…"
"4","RT @ChronMed: Hospitals see influx of patients with #Harvey-related symptoms, particularly skin infections https://t.co/CiA9lEUqnE"
"5","RT @BookerT5x: Doing a very special live show in Los Angeles to benefit those affected by #Harvey. Please join me and support! Tix: https:/…"
"6","RT @PoojaOnTV: Wondering why you're stuck I traffic?  So, this is Beltway 8 at Boheme... #abc13 #Harvey https://t.co/w50qcpe5jF"
"7","RT @PoojaOnTV: If you're wondering why traffic is horrible... #Beltway8 #Harvey #Abc13 https://t.co/vH76wWcgua"
"8","RT @UHLAW: . @UHLawDean, Profs G. Hoffman and Janet Beck and UHLC students and alums participate in #Harvey volunteering at NRG Center. #Ho…"
"9","People are looking to each other for help, while politicians start to position themselves for benefitting from relief fund. #Harvey"
"10","That's exactly what they (COE) did. It could have been far worse for thousands more. She is entitled to full restit… https://t.co/G3oECbG6lU"
"11","RT @NickABC13: 6pm on @abc13houston meet Bill Fly. The 99 year-old WWII vet who lost his home during #Harvey but is making a comeback thank…"
"12","Community Pastors coming together to prayer.  #21daysofprayer #harvey"
"13","Thanks again, thunder buddies! <ed><U+00A0><U+00BC><ed><U+00BC><U+00AA><ed><U+00A0><U+00BD><ed><U+00B0><U+00B6> Have fun in your new life! #Harvey #rescuedpetsmovement https://t.co/0fmqQhLecE"
"14","RT @TAMUVET1: 9/5, evening: #VET members + soldiers engaged in ""puppy therapy.""
#TAMU #CVM #Harvey https://t.co/OoMe7sIgrZ"
"15","RT @ChronBrianSmith: J.J. Watt on his plan for how the $27 million-plus raised for #Harvey victims will be used. https://t.co/hfmb2OpHYx"
"16","#TheStory they knew about the problem, but it's not a problem until it's a problem... Now it's a problem #Harvey #TexasStrong"
"17","RT @SenTedCruz: Recognized @JJWatt for his devout commitment to helping fellow Texans rebuild after #Harvey. #TexansHelpingTexans #TexasStr…"
"18","RT @kwri: To support our #KWFamily affected by #Harvey and #Irma, we're raising $20M in support of Hurricane Recovery. https://t.co/KBFk9fJ…"
"19","RT @RyanBLeslie: H-E-B you've made me a lifetime customer. @HEBPrepared @HEB 
#TexasStrong #Harvey https://t.co/GWM4FmeLlT"
"20","@pheeldoulap @AndrewRedlawsk @Iceleg @dnauerbach13 I feel your pain, as I live in port Aransas Texas. We took the initial hit from #Harvey."
"21","RT @KPLC7News: Doctors warn of health hazards associated with flood waters #Harvey
https://t.co/xMmZON5nXw https://t.co/7k5TOMeLkP"
"22","RT @Schrader_Adam: @PolkCoSheriff Additionally look at #Harvey as a case study  https://t.co/WkUC9nMIvt"
"23","RT @TexasDSHS: #Harvey (and now #Irma) remind us why emergency prep is so important. Take time to build a ""go kit"" w/ the info at https://t…"
"24","Task Force #Harvey flights out of the practice field @KatyHSPrincipal https://t.co/Ghpvaq0tGT"
"25","RT @TxCDD: #Translation Stipends to increase access to services &amp; supports for people with #disabilities impacted by #Harvey.

https://t.co…"
"26","@tomcolicchio just FYI - post #harvey every #HISD student can get 3 free meals a day. From NYC but live in Houston… https://t.co/NCvwXwue4O"
"27","RT @abc13houston: Do you have questions about renter's rights after #Harvey? Ask @TedABC13 a question NOW on Facebook Live: https://t.co/Wu…"
"28","@TheLiberalUG @realDonaldTrump HEART OF THE DEAL... 
ahahahaha
POTUS is brilliant.
Get the money to the homeless in… https://t.co/J0zXwLpp0S"
"29","@SBISD students will NOT have to make up the 10 school days missed due to #Harvey , board approved request of waiver #springbranchisd"
"30","51 inches: 5 stories of terror, heartbreak and heroism @HoustonChron #Harvey  https://t.co/PmN6mij7lk"
"31","RT @abc13houston: We want you to #TurnToTed on Facebook Live at 6 for all your questions on renter's rights linked to #Harvey. Submit a que…"
"32","RT @foundmemag: If you have a story or an experience to share about #Harvey we want to know."
"33","RT @BetsyFurler: I was on the @SatSisters this week talking about #Harvey and #HoustonStrong 
https://t.co/bhWu793qZj"
"34","RT @dsilverman: Get used to seeing debris from #Harvey cleanups. https://t.co/gnah0hIDGf It will be with us for months. By @mmorris011 #hou…"
"35","RT @TexasObserver: More than a week after #Harvey, Texas &amp; @USDA have yet to approve a food aid program designed to help victims https://t.…"
"36","RT @TexasDSHS: Questions about #Harvey-related services? Dial 2-1-1 and select options 5 (food benefits, shelters) or 2 (TANF, Medicaid, CH…"
"37","RT @UHouston: Having transportation issues after #Harvey ruined your ride? Waze Carpool is now offering free carpools in Houston <ed><U+00A0><U+00BD><ed><U+00BA><U+0097>https://t…"
"38","RT @EntergyTX: Sept. 6: Here's our 5 p.m. update on #Harvey restoration in #Texas. #HurricaneHarvey https://t.co/o6Lcz9RKSd https://t.co/cA…"
"39","I was on the @SatSisters this week talking about #Harvey and #HoustonStrong 
https://t.co/bhWu793qZj"
"40","I'm so mad at myself for forgetting about jeans day today &amp; wearing real clothes to school! #harvey got my days all… https://t.co/6e99xPXGud"
"41","RT @imkevinquinn: Class action suits filed following massive flooding after release of water from local reservoirs #abc13 @ 6 #harvey #harv…"
"42","RT @KaitlinMcCulley: Keisha Williams would have turned 33 Saturday. She died in #Harvey flood waters near her Woodforest apt #ABC13 https:/…"
"43","RT @MichaelCiaglo: Post-Harvey traffic is no joke. I took these at noon today... good luck to the commuters out there #Harvey https://t.co/…"
"44","Gov. Abbott talks #Harvey with German Chancellor Angela Merkel .  No reports whether Confederate statues came up https://t.co/4y0e1Vq3Y2"
"45","RT @UHouston: First day after #Harvey is in the books! Welcome back, Coogs! https://t.co/Zjz7h8753M"
"46","RT @12NewsNow: House approves first installment of Hurricane Harvey disaster aid #12NewsNowHarvey #Harvey #409Strong https://t.co/2Uv8ITu4e…"
"47","RT @HoustonHealth: Disinfect all toys that were in contact with #Harvey floodwaters before letting kids play. Here is how https://t.co/ZKAD…"
"48","Shoutout to @Apple wife damaged phone while working #harvey relief with TX National Guard. Gave her replacement for free. Out of warranty."
"49","RT @HoustonHealth: Talk to your doctor if you're unsure of your tetanus shot history and repairing a #Harvey-damaged home. https://t.co/927…"
