,text,class
1, additionally look #harvey case study ,1
2, look closely kfc man looks sort like stick man #kfc #harvey #staystrongtexas #hurricane… ,1
3, exactly far worse thousands entitled full restit… ,1
4, thanks boston dental business dentaquest donating $  help texas #harvey htt…,1
5,#thestory knew problem problem problem now problem #harvey #texasstrong,1
6,sept update #harvey restoration #texas #hurricaneharvey  ,2
7,post-harvey recovery houston schools feeding thousands families day  #harvey… ,2
8,going thanks $ raised #harvey relief #houstonsourcingcrew ,2
9, #cajunnavy way houston help #harvey recovery read group's past heroics …,2
10, last week visited nyc talk &amp #harvey relief …,1
11, post-harvey recovery houston schools feeding thousands families day  #harvey #houstons…,2
12, pm meet bill fly year-old wwii vet lost home #harvey making comeback thank…,1
13, eat food came contact #harvey floodwaters doubt throw …,2
14, commute will mess morning time come  #harvey #houtraffic #hounew…,2
15, hurricane recovery humor #harvey seen westbury ,2
16, amazing kids wanted help #harvey victims sold lemonade &amp got $ check proud tell story…,1
17,shoutout wife damaged phone working #harvey relief national guard gave replacement free warranty.,1
18,community pastors coming together prayer #daysofprayer #harvey,1
19, post-harvey traffic joke took noon today good luck commuters #harvey …,1
20, special live show los angeles benefit affected #harvey please join support tix …,1
21, please help sharing thanks helping spread word can help displaced pets #harvey texas …,2
22, get used seeing debris #harvey cleanups  will months #hou…,1
23, class action suits filed following massive flooding release water local reservoirs #abc @ #harvey #harv…,1
24,homeowners suing reservoir releases case #harvey #hounews  ,2
25, come new guide hiring contractor natural disasters like #harvey …,1
26, check new guide #housing rights information people #disabilities impacted #harvey …,2
27,“ wondering stuck traffic beltway boheme #abc #harvey ”,2
28, tip sheet families displaced #harvey students disabilities  #txed,2
29, wondering traffic horrible #beltway #harvey #abc ,2
30,copy phasma still stuck #harvey created amazon time-warp going arrive till th...,2
31,tceq liner protecting toxic san jacinto waste pits exposed indication waste … ,1
32, texas railroad commission says gas supply state quickly recovering #harvey ,2
33, today's collection important links media stories state bar texas #harvey media reports – sept …,2
34, cobbled things together real documentation things … ,2
35, / evening #vet members + soldiers engaged puppy therapy #tamu #cvm #harvey ,1
36, week talking #harvey #houstonstrong ,1
37, #harvey rain floodwaters got home take steps prevent #mold growth  #houreco…,2
38, hospitals see influx patients #harvey-related symptoms particularly skin infections ,1
39,new #blog post #hurricane #hurricaneharvey #texasstrong #texasflood #harvey #harveyrelief #deepintheheartoftexas ,2
40, excited announce board approved donating $ —$ &amp — #harvey #legala…,2
41,amazing kids wanted help #harvey victims sold lemonade &amp got $ check proud tell … ,1
42, thank stopping replace employees’ boots ruined #harvey recovery …,2
43, many houston #dreamers lost everything #harvey now lost #daca help vulnerable …,1
44, #keishawilliams turned saturday died #harvey flood waters near woodforest apt #abc #ripkeishawil…,1
45, days driving empty flooded roads never though happy see #houstontraffic #harvey #khou …,2
46, city houston employee missing last heard height #harvey way work …,1
47, #translation stipends increase access services &amp supports people #disabilities impacted #harvey …,1
