,docs,text,class
121,doc 121, #hurricaneirma crazy girlfriend running #harvey,2
122,doc 122,crews begin pumping water flooded beltway west story photos --&  #houstonflood… ,2
123,doc 123, week went back sites meyerland shot last sunday #harvey ,1
124,doc 124, watt foundation gets $ chairman #harvey relief  ,2
125,doc 125, praying caribbean &amp also praying #hurricaneirma make landfall florida #harvey …,2
126,doc 126, lot resources need help cleaning home debris #harvey register now #hourecovers… ,2
127,doc 127, volunteers florida &amp iowa helping cleanup crews king #harvey recovery pm #…,1
128,doc 128, thank #houstonstrong #heightslife need volunteers help hand donations tomorrow - #hisd #harvey htt…,1
129,doc 129,tonight pm concert special #harvey recovery fundraiser #hou #ricevillage… ,1
130,doc 130,gov abbott talks #harvey german chancellor angela merkel reports whether confederate statues came ,1
131,doc 131, | workng together restore west houston mobility #harvey  ,2
132,doc 132,#texasstrong #notonlyhouston #harvey # @ house gore ,2
133,doc 133, sitting #harvey traffic forces observant #houston always many beautiful flags #passengerseat…,2
134,doc 134, recognized devout commitment helping fellow texans rebuild #harvey #texanshelpingtexans #texasstr…,1
135,doc 135, seeing catastrophic stories families directly affected #harvey meant hugging babies… ,1
136,doc 136, video first tanker travel corpus christi ship channel shut hurricane #harvey (via…,1
137,doc 137, miss  support #harvey get autographs drink beer homeruns,2
138,doc 138, questions #harvey-related services dial -- select options (tanf medicaid …,1
139,doc 139, planning open school sites #houston #harvey #houstonstrong  donate ,2
140,doc 140, volunteer #harvey counsiling hotline free get help need damage see call -- #…,2
141,doc 141, volunteers ready help register receive help cleaning homes #harvey #houstonstrong ,2
142,doc 142,#texasproud also showed world strength &amp unity means … ,2
143,doc 143, guys bestttt fix #harvey damage detailed andddd use… ,1
144,doc 144, senior josh ofili one cougars displaced #harvey shared experiences today  #txhsfb,2
145,doc 145,thanks thunder buddies fun new life #harvey #1dpetsmovement ,1
146,doc 146, want #turntoted facebook live questions renter's rights linked #harvey submit que…,1
147,doc 147, absolutely incredible #harvey essay downloaded app suddenly 1 dispatcher ,1
148,doc 148, week talking #harvey #houstonstrong ,1
149,doc 149, #volunteers please sign homeowners know need #help cleanup #harvey #houstonrelief… ,2
150,doc 150, watt donation star raised $m #harvey relief efforts help thank housto…,2
