"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18"
"1","recovery","#houstonflood","affected","#harvey","#harvey","#harvey","can","&amp","#harvey","help","help","#harvey","says","help","cleanup","due","#harvey","#harvey"
"2","&amp","federal","business","hurricane","helping","relief","still","florida","relief","need","share","damage","used","&amp","donating","families","help","#dhs"
"3","thanks","please","employees","thank","efforts","#cvm","efforts","#harriscounty","via","trials","personal","million","back","helping","flood","flood","course","many"
"4","#harvey","heroes.'","home","&amp","benefit","iowa","secretary","#vet","#houston","tenants","support","delays","evening","#houstonflood","relief","new","today","recovery"
"5","friend","aid","lost","victims","charities","king","law","godspeed","renter's","#dangerous","agencies","htt…","look","force","add","#flood","#houston","county"
"6","affected","members","now","volunteers","harvey","like","#bigrig…","#harvey","artist","artists","cleaning","needs","new","meet","back","#houstonstrong","#irma","#houst…"
"7","donation","nearly","people","#hisd","live","michael","back","#texas","bank","damage","little","newsletter","route","#abc","getting","alumna","got","#irma"
"8","fundraising","question","following","debris","mission","proud","brave","help","foundation","get","mayor","tell","see","#houstonstrong","#aftermath","crews","lemonade","disaster"
"9","made","questions","hours","empire","operations","see","enforcement","hundreds","mother","guard","national","vet","texas","give","#harvey","diaper","new","help"
"10","woodlands","workers","photos","home","snake","work","fund","cancer","resources","involved","reached","#daca","thanks","hurricane","#truckerlife","hits","proud","involved"
"11","#houston","#harvey…","provide","icymi","-effects","#houstonflood","late","crews","week","relief","recovery","#flooding","base","moccasin","#trump","hour","#houstonflood","members"
"12","barker","#irma","water","repairing","#debris","#hurricane…","road","dark","work","see","texas","#happy","breakdown","rode","#ustws","million","able","months’"
"13","beltway","#naiasoccer","#baytown","solidarity","#houstonflood","#irma","week","hand","#cajunnavy","website","work","#thinkpositive","lot","teachers","#utsa","students","amazing","problems"
"14","check","#redstates","#colettesulcer","workers","#rstudio","#jose","-year-old","houston","#dreamers","#ajustharveyrecovery","#cattle…","#whatasight","residents","#houston","applied","#diaper","back","'navigating"
"15","dist","#staystrongtexas","#diaper","#harvey…","ask","#portarthur","#ripcolettesulcer","need","#hourecovers","#texanshelpingtexans","#cnn","add","trumps'","#hurricaneharvey","awareness","#heightslife","coming","#antifa"
"16","district","#tamu","#harvey.…","#houston…","bin","#turntoted","#ustws","partnering","#texasstr…","absolutely","#harvey.…","austin","working","#kfc","bin","#sushi","cooking","#hounews"
"17","family","#thinktacos","#ksatnews","#onramps","corps","announce",".:#harvey","relief","able","beware","#hourecovers…","baylor","#beaumont","#naiasoccer","brothers","#trump","destroy","#publiche…"
"18","gift","apt","#safetyfi…","#texasstrong","cottonmouth","benefit","calls","stymied","address","beyond","#houston","bit","access","#txlege","building","anything","donation","#texasstrong"
"19","girls","awareness","&amp","#traffic","discussion","children","communities","wanted","agencies","clinging","#houstonsourcingcrew","brothers","amazing","angry","canceled","approve","downloaded","addicks"
"20","haven’","beaumont.…","..…","#truckerlife","donation","classes","concert","worth","ago","commitment","#tamu","businesses","basically","antonio","care","assistance","event","aftermath"
"21","head--water","benefits","aka","army","fees","congress","consider","#foodporn","ahead","daily","affected","care","businesses","app","charging","austin","every","begun"
"22","heidi","catastrophe'","benefit","ask","flea","engaged","delays","#healthservices","amazed","daughter","back","commute","destruction","austin","debris","bill","everything","bit"
"23","info","checked","boston","best","food","fighting","difficultheavy","#irma","asked","fighting","brazoria","dentaquest","devasted","benefitting","delays","brought","found","can"
"24","life","cottonmouth","businesses","chairman","friend","free","donating","ahead","beaumont","hard","cleanup","gave","essay","closed","efforts","building","hits","center"
"25","line","dam","children","challenges","impacted","hits","emoji","appreciates","beaumont.…","heavy","contribute","gets","face","college","gloves","cancer","housto…","comeb…"
"26","missed","dispatcher","closely","damageflooding","keep","homes","farrington","austin","bill","house","counting","harvey","find","comeback","happy","check","houston","cont'd"
"27","next","donations","corpu…","day","kids","house","found","changed","clinics","infrastructure","donation","helping","frequently","concert","hospital","considers","informed","dam"
"28","now","efforts","damage","family","making","kids","helps","class","concert","king","facebook","houston","involved","crew's","htt…","county","link","dog"
"29","pets","explain","damage.…","federal","near","location","incredible","click","damaged","little","finally","hundreds","iowa","dangers","info:…","dangers","lions","enforcement"
"30","physically","fees","disater","field","orange…","lost","learning","closed","entire","lost","free","kids","little","date","information","daycare","management","even"
