"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @sdkstl: @MichaelSkolnik Tomas Carreon, father of 3, was killed in the same #Harvey accident as #AlonsoGuillen. @gofundme: https://t.co/…",FALSE,0,NA,2017-09-04 23:59:59,FALSE,NA,"904856599671562240",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","BerniesBabyGirl",58,TRUE,FALSE,NA,NA
"2","RT @AP: A Muslim youth association helps Houston clean up after #Harvey in this #360video. @AP's latest on the recovery: https://t.co/CYwHq…",FALSE,0,NA,2017-09-04 23:59:58,FALSE,NA,"904856594499985408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tif_49",337,TRUE,FALSE,NA,NA
"3","#NEW @CityOfDallas consolidating all #Harvey evacuees into mega-shelter tonight. 1,000 more ppl from #Texas coming… https://t.co/f1PAaQCclC",FALSE,3,NA,2017-09-04 23:59:56,TRUE,NA,"904856588112064512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cbs11jack",8,FALSE,FALSE,NA,NA
"4","RT @C_townBaseball: Coach Butler &amp; his Natl Guard unit have been activated to Texas to help the #Harvey victims. Please keep them in your p…",FALSE,0,NA,2017-09-04 23:59:54,FALSE,NA,"904856580763594753",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Gavin_cole_webb",32,TRUE,FALSE,NA,NA
"5","If you are one our customers still impacted by #Harvey, we haven't forgot you &amp; know you are frustrated. Working ha… https://t.co/lYEjcTLoYC",FALSE,12,NA,2017-09-04 23:59:54,TRUE,NA,"904856579715080192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CNPalerts",14,FALSE,FALSE,NA,NA
"6","RT @PatrickSvitek: .@JoaquinCastrotx asks DHS to grant U.S. entry for mother of DACA recipient who died trying to rescue #Harvey victims: h…",FALSE,0,NA,2017-09-04 23:59:54,FALSE,NA,"904856579463315456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wodelic",100,TRUE,FALSE,NA,NA
"7","RT @LVNancy: Elitist #Obama rumored to buy another mansion #marthasvineyard
<ed><U+00A0><U+00BD><ed><U+00B2><U+00A1> How about $1M toward #HarveyRelief<U+2753><ed><U+00A0><U+00BE><ed><U+00B4><U+0094>

#Harvey #MAGA
https://t…",FALSE,0,NA,2017-09-04 23:59:52,FALSE,NA,"904856570760241153",NA,"<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","hrothenb",647,TRUE,FALSE,NA,NA
"8","RT @david_lippman: Salvation Army in #Beaumont says it needs 20-25 more volunteers beginning at 9am tomorrow. #khou11 @12NewsNow  #Harvey #…",FALSE,0,NA,2017-09-04 23:59:51,FALSE,NA,"904856566771441664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","adolph_suarez",48,TRUE,FALSE,NA,NA
"9","RT @TxDPS: DPS @TDEM Chief Nim Kidd &amp; @FEMARegion6 Administrator Tony Robinson meet w/local officials in Port Lavaca on #Harvey recovery ef…",FALSE,0,NA,2017-09-04 23:59:51,FALSE,NA,"904856566133919745",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TDEM",7,TRUE,FALSE,NA,NA
"10","RT @NYDailyNews: Mom donates over 1,000 ounces of breast milk to #Harvey victims https://t.co/xzliBW7U9l https://t.co/Y5CkPqL0Gh",FALSE,0,NA,2017-09-04 23:59:48,FALSE,NA,"904856553643225089",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FarRockLori",16,TRUE,FALSE,NA,NA
"11","RT @FoxNewsInsider: 'You Loot We Shoot': Texans Lay Down the Law After #Harvey, via @GriffJenkins @foxandfriends https://t.co/PIlaepMaKo",FALSE,0,NA,2017-09-04 23:59:47,FALSE,NA,"904856548543004672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nicole_insley",392,TRUE,FALSE,NA,NA
"12","RT @DrMartyFox: Showing This To The Brain Dead Left Is Like Showing A Cross To A Vampire 

Here Is #Racist #PresidentTrump 

#Harvey https:…",FALSE,0,NA,2017-09-04 23:59:46,FALSE,NA,"904856545254531072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hushlaa",1944,TRUE,FALSE,NA,NA
"13","""Health official spreads the word about health risks after Harvey"" https://t.co/9o61swQ2u9 #Harvey #healthrisks #mold #safety #bacteria",FALSE,0,NA,2017-09-04 23:59:45,FALSE,NA,"904856540988841984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JoanneSpruceC21",0,FALSE,FALSE,NA,NA
"14","RT @GeorgiaDirtRoad: ""If You Loot, We Shoot!"" <ed><U+00A0><U+00BC><ed><U+00BE><U+00AF><ed><U+00A0><U+00BC><ed><U+00BE><U+00AF><ed><U+00A0><U+00BC><ed><U+00BE><U+00AF>

Texans Lay Down the Law After #Harvey 

#DontmesswithTexas https://t.co/kYZztWKL7q",FALSE,0,NA,2017-09-04 23:59:44,FALSE,NA,"904856535741775872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","stylistdavid",1072,TRUE,FALSE,NA,NA
"15","RT @mrkmully: It's only been a week. Went back to some of the sites in Meyerland I shot last Sunday. #harvey https://t.co/tOQI4cLwwM",FALSE,0,NA,2017-09-04 23:59:42,FALSE,NA,"904856526850019328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","andrewkimmel_",11772,TRUE,FALSE,NA,NA
"16","RT @mrkmully: It's only been a week. Went back to some of the sites in Meyerland I shot last Sunday. #harvey https://t.co/tOQI4cLwwM",FALSE,0,NA,2017-09-04 23:59:41,FALSE,NA,"904856524765450240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MarkyMarkNigguh",11772,TRUE,FALSE,NA,NA
"17","RT @david_lippman: Salvation Army in #Beaumont says it needs 20-25 more volunteers beginning at 9am tomorrow. #khou11 @12NewsNow  #Harvey #…",FALSE,0,NA,2017-09-04 23:59:41,FALSE,NA,"904856523997929473",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AudreyGruber",48,TRUE,FALSE,NA,NA
"18","RT @fema: We're grateful for all the volunteers working long hours across Texas to help communities recover from #Harvey. Thank you for you…",FALSE,0,NA,2017-09-04 23:59:38,FALSE,NA,"904856512253669376",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","KellyJaneFK",165,TRUE,FALSE,NA,NA
"19","In times of  #fireandfury #Harvey #DACA can we actually unplug and reassess our job on this planet? https://t.co/sj9PSNUnZZ #blogger",FALSE,0,NA,2017-09-04 23:59:38,FALSE,NA,"904856510529986560",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AlihDemir",0,FALSE,FALSE,NA,NA
"20","RT @mrkmully: It's only been a week. Went back to some of the sites in Meyerland I shot last Sunday. #harvey https://t.co/tOQI4cLwwM",FALSE,0,NA,2017-09-04 23:59:38,FALSE,NA,"904856509972185088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","naplis_merlin",11772,TRUE,FALSE,NA,NA
"21","RT @mrkmully: It's only been a week. Went back to some of the sites in Meyerland I shot last Sunday. #harvey https://t.co/tOQI4cLwwM",FALSE,0,NA,2017-09-04 23:59:37,FALSE,NA,"904856509565284353",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ctzn5",11772,TRUE,FALSE,NA,NA
"22","RT @BeachcomberNC: God bless Alonso Guillen. The 31-year-old #DACA immigrant drowned while working as a volunteer rescuer during #Harvey.
#…",FALSE,0,NA,2017-09-04 23:59:36,FALSE,NA,"904856502636306432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Darmicbr",64,TRUE,FALSE,NA,NA
"23","RT @RedRoverOrg: Our #RedRoverResponders are still in Texas helping #animals displaced by #Harvey. Not sure who is enjoying the cuddles mor…",FALSE,0,NA,2017-09-04 23:59:34,FALSE,NA,"904856493899616256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Suemartin077",6,TRUE,FALSE,NA,NA
"24","RT @DHSgov: The Road to Recovery: The Federal Family’s Coordinated Efforts to Support Survivors in the Aftermath of #Harvey <U+2192> https://t.co/…",FALSE,0,NA,2017-09-04 23:59:33,FALSE,NA,"904856492544811008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FaisalShaikh113",132,TRUE,FALSE,NA,NA
"25","RT @FoxNewsInsider: 'You Loot We Shoot': Texans Lay Down the Law After #Harvey, via @GriffJenkins @foxandfriends https://t.co/PIlaepMaKo",FALSE,0,NA,2017-09-04 23:59:31,FALSE,NA,"904856482860212226",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","John132941831",392,TRUE,FALSE,NA,NA
"26","RT @Team_MaunaLoa: Sad about summer ending, but then the impact of #Harvey reminds me not everyone has school to return to tomorrow. Let's…",FALSE,0,NA,2017-09-04 23:59:31,FALSE,NA,"904856482373652480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SusanO13",3,TRUE,FALSE,NA,NA
"27","RT @HudakZak: .@CBSNews now confirms 63 deaths in #Texas related to #Harvey",FALSE,0,NA,2017-09-04 23:59:29,FALSE,NA,"904856474446438402",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nataliazea4",5,TRUE,FALSE,NA,NA
