"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @KPRC2: Crews begin pumping water from flooded Beltway 8 West. Story and photos --&gt; https://t.co/Tf9RSsOXxK #HoustonFlood #Harvey https:…",FALSE,0,NA,2017-09-06 23:59:56,FALSE,NA,"905581362362671104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JuanNav46529358",97,TRUE,FALSE,NA,NA
"2","RT @ShernMinKHOU: Amazing @springspiritbb kids wanted to help #Harvey victims. Sold lemonade &amp; got $10,000 check! Proud to tell their story…",FALSE,0,NA,2017-09-06 23:59:53,FALSE,NA,"905581350564003840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cgal17",18,TRUE,FALSE,NA,NA
"3","RT @BAP2017: #KeishaWilliams would have turned 33 Saturday.
She died in #Harvey flood waters near her Woodforest apt #ABC13!!
#RIPKeishaWil…",FALSE,0,NA,2017-09-06 23:59:16,FALSE,NA,"905581194917662720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Teedawg04",192,TRUE,FALSE,NA,NA
"4","RT @BAP2017: #KeishaWilliams would have turned 33 Saturday.
She died in #Harvey flood waters near her Woodforest apt #ABC13!!
#RIPKeishaWil…",FALSE,0,NA,2017-09-06 23:58:54,FALSE,NA,"905581102642995200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HEAVYCHEVY850",192,TRUE,FALSE,NA,NA
"5","RT @ChronMed: Hospitals see influx of patients with #Harvey-related symptoms, particularly skin infections https://t.co/CiA9lEUqnE",FALSE,0,NA,2017-09-06 23:58:51,FALSE,NA,"905581090764664832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zackmomma",287,TRUE,FALSE,NA,NA
"6","RT @BookerT5x: Doing a very special live show in Los Angeles to benefit those affected by #Harvey. Please join me and support! Tix: https:/…",FALSE,0,NA,2017-09-06 23:58:37,FALSE,NA,"905581032585519104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mel4Extreme",149,TRUE,FALSE,NA,NA
"7","RT @ChronMed: Hospitals see influx of patients with #Harvey-related symptoms, particularly skin infections https://t.co/CiA9lEUqnE",FALSE,0,NA,2017-09-06 23:58:24,FALSE,NA,"905580976432140289",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mmaureen7",287,TRUE,FALSE,NA,NA
"8","RT @PoojaOnTV: Wondering why you're stuck I traffic?  So, this is Beltway 8 at Boheme... #abc13 #Harvey https://t.co/w50qcpe5jF",FALSE,0,NA,2017-09-06 23:58:18,FALSE,NA,"905580950083567618",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gothprincesss",95,TRUE,FALSE,NA,NA
"9","RT @PoojaOnTV: If you're wondering why traffic is horrible... #Beltway8 #Harvey #Abc13 https://t.co/vH76wWcgua",FALSE,0,NA,2017-09-06 23:57:55,FALSE,NA,"905580855422308352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","w_vvera",82,TRUE,FALSE,NA,NA
"10","RT @UHLAW: . @UHLawDean, Profs G. Hoffman and Janet Beck and UHLC students and alums participate in #Harvey volunteering at NRG Center. #Ho…",FALSE,0,NA,2017-09-06 23:57:51,FALSE,NA,"905580840004055040",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","PRayRay",2,TRUE,FALSE,NA,NA
